Code de profil professionnel SIPeC,Etiquette
64100.02,Décorateurs/décoratrices - étalagistes
64101.00,Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique)
64200.01,"Tailleurs/tailleuses, Couturiers/couturières et Retoucheurs/retoucheuses"
64200.02,Fourreurs/fourreuses
64200.03,Modistes
64201.01,Conseillers imagistes/conseillères imagistes
64201.02,Conseillers/conseillères en services de mariage
64201.03,Conseillers/conseillères en perte de poids
64300.00,Maîtres d'hôtel et hôtes/hôtesses
64301.00,Barmans/barmaids
64310.00,Conseillers/conseillères en voyages
64311.01,Agents/agentes de bord - transport aérien
64311.02,"Commissaires de bord, directeurs/directrices du service à la clientèle et directeurs/directrices de service aux passagers"
64311.03,Commissaires de marine
64312.01,Agents/agentes aux passagers et de billetterie - transport aérien
64312.02,Agents/agentes de fret aérien et d'escale
64312.03,Agents/agentes de réservations
64313.01,Agents/agentes de billetterie et personnel assimilé (sauf transport aérien)
64313.02,Représentants/représentantes du service à la clientèle en matière de fret (sauf transport aérien)
64314.00,Réceptionnistes d'hôtel
64320.01,Guides touristiques
64320.02,Guides itinérants/guides itinérantes
64321.00,Travailleurs/travailleuses dans les casinos
64322.00,Guides d'activités récréatives et sportives de plein air
